Provinsi/Kabupaten/Kota,,,,,,
Kota Mojokerto,15387.94,15425.35,15534.44,11365.22,11466.6,11766.71
Kota Madiun,19433.72,19623.46,19798.18,14264.44,14264.95,14323.03
Kota Surabaya,18315.23,18405.14,19046.83,14547.89,14632.49,14655.99
Kota Batu,15642.59,16017.71,16484.17,7596.74,8387.41,8428.17
BANTEN,15838.25,15870.34,16092.55,9153.21,9651.11,9728.96
Pandeglang,11714.62,11895.32,12497.38,4731.77,5364.63,5457.79
Lebak,11758.49,11968.15,12210.09,3539.21,3739.06,3759.06
Tangerang,16233.71,16465.32,16971.72,9882.51,10159.85,10187.59
Serang,13812.16,13814.94,14304.39,8469.12,9134.04,9145.84
Kota Tangerang,17470.42,17643.8,17863.05,13293.83,13454.84,13542.66
Kota Cilegon,18758.94,19025.59,19233.27,7155.86,7157.17,7397.15
Kota Serang,17043.1,17263.01,17627.15,11274.31,11408.5,11658.43
Kota Tangerang Selatan,19942.65,20016.73,20498.17,13644.91,13834.05,13872.57
BALI,15361.97,15468.95,15751.16,12480.86,12804.89,12903.31
Jembrana,12782.56,12841.77,13029.71,10656.27,10887.06,10958.63
Tabanan,13736.07,13787.33,13808.32,12788.78,12905.11,12986.11
Badung,18093.34,18153.35,18272.27,15649.51,15984.14,16297.29
Gianyar,14333.31,14598.13,15357.01,12776.19,13071.07,13088.41
Klungkung,13484.36,13485.41,13563.72,9927.63,10171.17,10439.89
Bangli,13958.98,14019.04,14123.12,9768.13,10113.19,10266.59
Karangasem,13132.27,13567.83,13579.99,8121.03,8341.92,8375.59
Buleleng,17152.37,17401.99,17525.51,11392.57,11462.93,11820
Kota Denpasar,19687.74,19759.46,20366.37,17792.91,18469.7,18487.68
NUSA TENGGARA BARAT,12710.3,12762.41,12780.81,7965.76,8083.25,8321.2
Lombok Barat,14968.93,15796.02,15834.26,8794.96,9399.17,9622.32
Lombok Tengah,13074.07,13146.28,13210.77,6500.62,6872.95,7040.11
Lombok Timur,10225.16,10307.94,10328.4,7208.48,7248.96,7404.08
Sumbawa,9112.04,9229.03,9588.97,6936.05,7313.72,7609.48
Dompu,11078.64,11324.01,11361.79,6361.83,6767.11,6930.17
Bima,9445.07,9573.03,9640.21,6719.89,6924.96,6976.02
Sumbawa Barat,12984.5,13242.13,13826.82,7888.52,9915.86,10114.99
Lombok Utara,11164.41,11347.12,11676.88,5099.87,5563.88,5716.91
Kota Mataram,16523.84,16828.05,16935.56,11090.54,11881.51,12139.35
Kota Bima,10411.04,10498.51,10546.36,8701.05,9235.21,9359.65
NUSA TENGGARA TIMUR,9529.52,9576.65,9715.59,6365.15,6721.54,6783.16
Sumba Barat,7993.55,8177.97,8264.76,6377.12,6706.3,6766.04
Sumba Timur,10748.27,10775.66,10868.36,8068.17,8703.39,8879.81
Kupang,9971.8,10001.96,10070.47,4919.52,5086.91,5294.77
Timor Tengah Selatan,7826,7980.98,8202.12,5386.11,5482.87,5563.32
Timor Tengah Utara,6722.04,6782.49,6799.56,5087.42,5426.7,5443.73
Belu,7631.79,7703.77,7783.62,5699.88,7011.44,7032.73
Alor,8220.01,8278.45,8386.87,5827.13,6087.82,6169.21
Lembata,9329.81,9407.34,9447.91,6182.37,6482.23,6548.86
Flores Timur,9671.41,9677.19,9712.77,6404.52,6754.17,6826.52
Sikka,11515.86,11605.84,11698.7,5544.87,5921.86,5966.97
Ende,8953,9011.14,9215.89,7882.15,8339.66,8363.52
Ngada,9971.05,10061.37,10112.02,7604.04,7945.34,7985.19
Manggarai,9788.15,9830.86,10055.09,5305.85,5341.24,5366.72
Rote Ndao,8296.48,9089.49,9148.44,3926.51,4109.88,4201.68
Manggarai Barat,9804.07,10347.89,10544.14,5483.51,5557.29,5745.66
Sumba Tengah,7711.36,7802.63,7901.75,4586.92,4725.06,4775
Sumba Barat Daya,5860.17,5959,6085.04,5737.89,5792.1,5811.57
Nagekeo,7714.34,7755.34,7902.06,7995.75,8096.33,8104.14
Manggarai Timur,6811.39,7030.01,7079.86,3723.2,4558.79,4649.85
Sabu Raijua,5834.69,6141.42,6265.91,4035.68,4297.09,4378.58
Malaka,7682.87,7707.19,7768.91,4228.57,4572.29,4736.09
Kota Kupang,14775.99,14875.11,14967.01,11272.36,12401.27,12742.61
KALIMANTAN BARAT,12268.3,12340.72,12366.37,5307.62,5652.8,5680.09
Sambas,13390.25,13774.31,13818.6,6141.7,6628.5,6649.51
Bengkayang,12294.31,12137.24,12331.09,4270.67,4351.31,4381.9
Landak,9025.22,9120.32,9137.25,4947.73,5089.48,5158.17
Mempawah,10638.34,10792.84,11221.3,5110.85,5468.87,5495.49
Sanggau,11386.41,11505.07,11671.09,2213.04,4011.21,4054.3
Ketapang,11686.56,11705.22,11721,5075.91,6262.27,6276.46
Sintang,11888.32,11946.5,12061.77,5440.5,5600.7,5618.21
Kapuas Hulu,9322.96,9420.28,9557.67,4205.59,4576.47,4617.33
Sekadau,10197.82,10334.26,10489.32,3538.9,3952.16,4042.31
Melawi,12004.72,12301.37,12793.91,3596.43,3959.67,3992.83
Kayong Utara,9751.43,9873.17,9924.53,4720.22,4879.78,4930.04
Kubu Raya,12755.02,12816.51,12835.71,4813.29,4978.76,5034.86
Kota Pontianak,18238.44,18376.68,18446.14,12829.83,13062.01,13312.83
Kota Singkawang,15435.51,15684.22,15691.03,8216.45,9058,9278.05
KALIMANTAN TENGAH,14108.45,14167.65,14198.26,7080.64,7150.5,7326.75
Kotawaringin Barat,17313.57,17387.47,17452.95,8535.03,10626.33,10781.94
Kotawaringin Timur,16054.21,16189.78,16201.97,5546.68,7484.33,7694.56
Kapuas,11061.59,11162.96,11651.66,9254.43,9681.2,9698.71
Barito Selatan,14148.48,14350.49,14492.77,9145.85,9471.36,9535.35
Barito Utara,11183.32,12950.99,12978.33,5179.23,5787.93,5946.04
Sukamara,9946.63,10026.82,10093.84,6534.08,6848.34,6867.42
Lamandau,13841.67,13903.4,14045.17,7840.69,8235.08,8357.79
Seruyan,11977.84,12205.04,12255.56,5953.61,6096.64,6289.63
Katingan,14322.06,14739.16,14793.17,5474.08,5739.74,5781.1
Pulang Pisau,11908.71,11937.46,11941.97,6332.49,7023.62,7106.92
Gunung Mas,13683.73,14106.03,14169.32,7242.72,7660.28,7790.99
Barito Timur,15389.93,15411.07,15560.94,7713.11,8077.01,8111.84
Murung Raya,14434.67,14615.79,14710.3,4894.76,5322.94,5511.52
Kota Palangka Raya,16498.23,16665.33,16701.43,11966.27,12495.44,12542.84
KALIMANTAN SELATAN,16170.61,16311.16,16471.47,7840.28,7887.64,8170.24
Tanah Laut,15784.21,15891.94,16167.77,6907.7,7471.82,7523.47
Kotabaru,16528.8,16549.18,16599.23,5431.17,5751.65,5899.55
Banjar,17195.33,17600.22,17961.23,10067.02,10890.34,10952.32
Barito Kuala,12899.74,12912.06,13047.48,6883.79,7178.41,7374.54
Tapin,16298.21,16523.72,16579.21,5850.06,5905.39,6031.1
Hulu Sungai Selatan,16499.43,16650.81,16681.39,7040.21,7547.95,7719.28
Hulu Sungai Tengah,11760.83,12047.1,12193.27,10135.73,10938.78,10969.64
Hulu Sungai Utara,11471.5,11780.67,11882.02,7347.6,7383.53,7405.23
Tabalong,16139.2,16187.28,16207.42,5875.86,6001.57,6201.61
Tanah Bumbu,17092.45,17203.53,17406.5,5511.51,6697.36,6776.42
Balangan,14953.32,15012.69,15157.71,9552.86,10543.98,10638.23
Kota Banjarmasin,15990.86,16127.29,16273.63,11435.61,11911.61,12268.26
Kota Banjar Baru,17688.24,17833.32,17880.78,11472.55,11931.69,12166.83
KALIMANTAN TIMUR,16918.55,17074.22,17420.17,6283.5,6407.81,6501.61
Paser,16376.31,16499.63,16547.25,2468.91,2520.15,2570.52
Kutai Barat,13982.73,14179.38,14394.31,5420.25,5445.11,5457.4
Kutai Kartanegara,15377.41,16227.02,16980.44,3920.77,4197.04,4249.49
Kutai Timur,14925.22,15293.24,16131.24,3322.52,3393.3,3479.85
Berau,17112.01,17565.19,17877.48,6802.33,6873.44,7001.33
Penajam Paser Utara,16187.63,16471.94,16555.35,6061.82,6631.7,6761.99
Mahakam Ulu,11335.27,11391.64,11657.74,3475.75,4070.88,4092.05
Kota Balikpapan,20616.74,20780.16,21192.38,8235.21,9955.18,10133.4
Kota Samarinda,20020.91,20396.64,20576.1,9063.4,9406.76,9588.8
Kota Bontang,24206.73,24876.69,25141.9,8446.91,9162.81,9235.54
KALIMANTAN UTARA,11335.27,11391.64,11657.74,3475.75,4070.88,4092.05
Malinau,13477.49,13980.02,14150.18,4720.19,4828.42,4873.43
Bulungan,13795.71,13850.17,13956.8,4140.85,5938.29,6016.08
Tana Tidung,9887.06,10166.86,10271.69,3383.98,3456.73,3526.05
Nunukan,8834.42,8955.78,9109.88,3576.84,3742.96,3797.75
Kota Tarakan,14694.05,14750.13,15012.5,8556.55,9019.5,9198.49
SULAWESI UTARA,13265.87,13382.09,13465.31,8386.59,8913.81,9206.08
Bolaang Mongondow,13633.26,13690.92,13882.02,5562.83,5800.33,5907.83
Minahasa,13963.98,14232.57,14267.5,10126.74,10581.7,10759.99
Kepulauan Sangihe,13581.43,13667.79,13781.82,8372.02,8609.9,8820.89
Kepulauan Talaud,8255.8,8517.94,8568.35,7469.98,7482.16,7595.39
Minahasa Selatan,15191.88,15290.71,15541.11,6576.13,6693.4,6732.11
Minahasa Utara,12764.93,12944.28,13049.36,9097.84,9926.31,10019.67
Bolaang Mongondow Utara,13253.22,13783.78,14049.9,4206.6,4748.51,4942.32
Siau Tagulandang Biaro,11206.83,11621.85,11756.25,4868.3,5093.68,5179.08
Minahasa Tenggara,13186.37,13608.27,14056.89,6614.72,7450.99,7694.46
Bolaang Mongondow Selatan,12811.11,13166.59,13486.89,2908.71,3564.68,3661.85
Bolaang Mongondow Timur,11222.28,11457.78,11524.03,5760.86,5791.11,6105.78
Kota Manado,14816.69,14786,15129.11,12098.92,12155.07,12267.46
Kota Bitung,15874.52,16010.46,16046.26,9554.22,9710.35,9923.22
Kota Tomohon,11185.96,11307.38,11345.1,9789.95,9790.65,10245.9
Kota Kotamobagu,11679.56,12904.97,13311,8814.7,8992.36,9327.29
SULAWESI TENGAH,11580.71,11623.33,12204.35,7139.12,7338.1,7477.34
Banggai Kepulauan,9454.81,10274.82,10552.42,6182.61,6927.94,7063.92
Banggai,12403.74,13117.95,13270.64,7105.08,7169.19,7279.14
Morowali,15253.91,15703.22,15777.7,5808.95,5999.02,6039.59
Poso,8806.46,8854.8,9106.28,6414.03,7271.68,7529.25
Donggala,9926.87,9961.65,10384.7,4791.37,5323.47,5432.49
Toli-Toli,9943.79,10157.81,10308.56,4909.32,5504.53,5717.82
Buol,10593.17,10956.17,11094.52,4982.56,5282.77,5341.22
Parigi Moutong,10842.88,11423.8,11972.58,6634.49,6951.4,7221.9
Tojo Una-Una,9668.88,10526.78,10756.51,5656.96,5958.86,6154.03
Sigi,9402.19,9479.17,9908.98,6711.33,6906.74,6951.41
Banggai Laut,9655.92,9977.19,10209.46,6932.14,7025.45,7199.49
Morowali Utara,9256.97,9549.96,9884.09,6997.75,8177.55,8317.61
Kota Palu,14818.21,14845.48,14951.81,13606.39,14179.75,14421.38
SULAWESI SELATAN,13577.37,14068.78,14249.67,8692.25,8950.51,9029.79
Kepulauan Selayar,11418.88,12004.04,12347.55,6570.47,6979.76,6999.18
Bulukumba,11702.63,11875.08,12119.67,8287.27,9473.42,9736.62
Bantaeng,10398.47,10515.19,10613.86,8172.28,8295.36,8526.16
Jeneponto,12318.32,12382.09,13038.74,6868.79,7607.76,7680.04
Takalar,13883.14,14197.49,14689.51,5760.09,6200.91,6218.36
Gowa,12350.97,12567.57,13198.74,5247.14,5895.55,5912.5
Sinjai,8713.45,8727.43,8895.57,7991.05,8071.5,8176.58
Maros,13926.44,14098.52,14408.01,6912.47,7228.43,7251.29
Pangkajene dan Kepulauan,15712.22,15900.68,16131.85,8038.49,8650.47,8750.52
Barru,11780.7,12540.27,12548.63,8951.56,9657.75,9700.49
Bone,11025.51,11194.99,11203.05,6554.87,6825.17,7005.59
Soppeng,9393.88,9400.86,9806.97,8244.7,8444.27,8581.62
Wajo,17266.34,17697.08,18291.35,8308.37,8532.35,8836.04
Sidenreng Rappang,16016.74,16062.15,16642.11,8520.18,9003.66,9331.28
Pinrang,13440.49,13584.04,13966.69,9640.94,9640.94,9745.87
Enrekang,9612.4,9783.34,10004.47,8847.8,9059.63,9342.67
Luwu,12497.73,12678.77,13055.9,7334.5,7394.43,7688.48
Tana Toraja,8973.84,9060.74,9278.32,4425.22,4534.42,4580.96
Luwu Utara,14532.68,14738.31,14959.53,7258.49,7405.12,7655.53
Luwu Timur,17845.31,17903.68,18271.97,8139.85,8537.66,8662.02
Toraja Utara,9509.16,9668.17,10030.48,4349.63,4449.66,4486.52
Kota Makasar,18536.91,18547.07,18871.82,12072.35,12381.48,12491.41
Kota Parepare,14153.86,14300.75,14750.79,12467.39,12624.17,12804.94
Kota Palopo,13977.68,14077.48,14525.8,10482.27,11195.79,11295.79
SULAWESI TENGGARA,12354.32,12366.46,12468.55,6688.37,6966.05,7117.73
Buton,11035.2,11081.78,11420.64,3765.12,4262.48,4363.58
Muna,10795.76,10976.39,11372.79,5434.94,5749.95,5934.17
Konawe,12779.63,13396.72,13573.15,8397.41,8688.38,8868.79
Kolaka,16906.43,17025.94,17140.75,7876.21,8090.05,8177.98
Konawe Selatan,12002.15,12292.91,12298.43,4682.84,5745.47,5849.61
Bombana,10752.35,10875.57,11278.63,4230.27,4350.02,4459.58
Wakatobi,12229.39,12283.56,12294.78,6446.77,6621.58,6642.88
Kolaka Utara,9834.24,9850.55,10059.53,8720.72,9317.57,9334.04
Buton Utara,8856.09,9146.05,9234.49,5353.18,6344.59,6559.82
Konawe Utara,11894.7,12402.94,12573.88,5440.75,5544.65,5601.81
Kolaka Timur,7997.23,7032.61,7152.37,5950.54,7924.27,7931.1
Konawe Kepulauan,7815.81,8783.48,9391.23,3638.42,4211.52,4342.53
Muna Barat,0,9653.05,9726.13,0,5715.65,5806.96
Buton Tengah,0,10752.29,10870.81,0,4096.07,4231.99
Buton Selatan,0,12019.02,12387.13,0,2685.38,2728.29
Kota Kendari,15610.25,15688.51,16047.24,12043.82,12159.5,12256.3
Kota Baubau,13557.01,13697.02,14285.33,7658.41,7707.83,7844.63
GORONTALO,12356.71,12988.3,13015.77,4302.53,4522.45,4634.03
Boalemo,10891.56,11893.41,12138.92,2886.89,3192.7,3249.59
Gorontalo,11975.67,12745.52,12970.57,2937.81,3325.44,3450.2
Pohuwato,11263.78,11631.93,11698.15,5693.36,6138.11,6182.72
Bone Bolango,12335.57,12844.36,12867.48,4028.91,4472.69,4533.84
Gorontalo Utara,11772.78,12617.61,12641.11,2873.52,3246.3,3290.8
Kota Gorontalo,15857.89,16742.58,16812.64,5147.56,5511.99,5680.02
SULAWESI BARAT,11863.26,11868.96,11976.96,6204.8,6287.24,6407.86
Majene,10690.27,10920.85,11231.43,8342.23,8561.98,8571.57
Polewali Mandar,10175.45,10502.8,10528.11,6314.22,6400.39,6435.93
Mamasa,7108.46,7317.86,7589.89,6613.97,6995.13,7101.78
Mamuju,10961.34,11000.7,11156.23,5769.68,5900.24,5973.28
Mamuju Utara / Pasangkayu,15545.61,15564.61,15634.06,4881.56,5619.69,5683.65
Mamuju Tengah,10759.27,11092.06,11208.74,4176.08,4504.75,4671.88
MALUKU,10853.63,10873.88,10988.67,6928.65,7097.22,7216.58
Maluku Tenggara Barat / Kepulauan Tanimbar,7322.05,7571.96,7687.17,3485.85,3604.82,3611.15
Maluku Tenggara,7521.34,7651.71,7781.18,6337.13,6606.86,6631.61
Maluku Tengah,10155.68,10337.49,10380.13,9164.13,9208.43,9218.07
Buru,14957.13,15200.14,15320.37,7380.87,8052.7,8166.64
Kepulauan Aru,10146.36,10261.77,10359.7,4409.01,5198.77,5311.95
Seram Bagian Barat,7775.15,7791.28,7965.29,7621.19,7736,7837.09
Seram Bagian Timur,11409.42,11732.11,11827.07,5742.17,6291.21,6442.16
Maluku Barat Daya,8313.27,8629.1,8801.89,4066.12,4913.02,5054.47
Buru Selatan,11556.31,11860.42,12205.68,4543.25,5494.03,5562.25
Kota Ambon,15061.1,15188.61,15260.92,11745.44,12567.88,12876.19
Kota Tual,9548.46,9647.76,9792.14,4649.79,4706.7,4820.08
MALUKU UTARA,10813.34,11162.3,11507.91,5711.59,6064.54,6396.73
Halmahera Barat,8880.27,9376.98,9712.01,4832.38,5346.73,5439.17
Halmahera Tengah,9874.95,9890.56,9922.21,5351.79,5917.51,6015.42
Kepulauan Sula,8309.25,8549.08,8673.23,5370.4,6042.96,6204.59
Halmahera Selatan,9937.17,10013.04,10243.93,4966.27,5094.14,5284.34
Halmahera Utara,10132.41,10538.71,10571.49,5471.41,5836.24,6244.89
Halmahera Timur,11176.37,11504.76,11532.5,3627.71,4108.19,4129.33
Pulau Morotai,8975.43,9571.85,9979.09,1854.32,1878.76,2133.87
Pulau Taliabu,10431.34,10532.79,10950.08,4007.95,4206.69,4226.69
Kota Ternate,16687.2,16597.18,16830.3,9702.02,9798.85,9817.52
Kota Tidore Kepulauan,8665.21,8799.59,8976.58,6529.84,7319.47,7355.23
PAPUA BARAT,10011.42,10123.31,10232.57,4819.39,4968.19,5106.52
Fakfak,9199.42,9927.43,10240.84,4048.37,4246.31,4356.3
Kaimana,10001.29,10229.74,10462.4,4694.45,4899.02,5110.58
Teluk Wondama,11076.02,11202.54,11519.86,3434.57,3887.73,3997.3
Teluk Bintuni,12462.91,12812.07,12816.71,5306.16,5848.61,6108.51
Manokwari,15744.72,16609.61,16778.99,6965.54,7164.42,7265.45
Sorong Selatan,6829.52,6931.37,7037.17,3265.26,3534.26,3608.62
Sorong,9059.13,9133.39,9301.33,4018.41,4580.79,4708.63
Raja Ampat,10814.47,10964.12,10981.04,3158.96,3480.56,3510.26
Tambrauw,6728.72,7413.29,7596.53,2043.61,2180.47,2267.39
Maybrat,6492.39,6744.39,6754.81,2790.49,2966.66,3009.03
Manokwari Selatan,6152.14,7753.93,8058.2,1619.5,1801.08,1859.38
Pegunungan Arfak,6655.4,6167.69,6177.21,2534.65,3938.34,3994.58
Kota Sorong,17552.5,17965.02,18544.23,9669.16,10139.19,10149.13
PAPUA BARAT DAYA,-,-,-,-,-,-
Raja Ampat,-,-,-,-,-,-
Sorong,-,-,-,-,-,-
Sorong Selatan,-,-,-,-,-,-
Maybrat,-,-,-,-,-,-
Tambrauw,-,-,-,-,-,-
Kota Sorong,-,-,-,-,-,-
PAPUA,9687.08,9701.55,9981.37,3528.81,3694.06,3765.71
Merauke,15393.27,15620.86,15963.88,7557.46,7897.63,7943.68
Jayawijaya,7424.06,7533.56,7679.28,4681.6,5034.25,5122.86
Jayapura,13339.59,13506.96,13974.5,8716.34,8876.07,9002.57
Nabire,13695.47,13812.16,13980.86,7727.68,8347.91,8452.48
Kepulauan Yapen,10590.76,10672.51,10822.43,6209.36,6437.31,6499.64
Biak Numfor,13398.84,13467.05,14025.76,8142.82,8475.73,8603.84
Paniai,9508.25,9751.65,9934.44,2206.11,2252.86,2261.9
Puncak Jaya,7659.65,7710.62,7880.62,1896.91,1964.23,1989.85
Mimika,17544.37,18030.52,18219.01,3854.19,3868.81,3928.94
Boven Digoel,11644.83,11649.35,11867.39,3796.67,3995.85,4053.11
Mappi,8815.39,8984.3,9108.72,3989.02,4232.27,4318.7
Asmat,9344.93,9461.84,9637.33,1350.38,1401.78,1434.05
Yahukimo,7463.01,7655.41,7941.82,2647.38,3104.46,3161.04
Pegunungan Bintang,7662.78,7464.6,7655.13,3974.54,4190.84,4280.34
Tolikara,7812.04,7816.92,7967.22,1720.01,1721.52,1733.46
Sarmi,9184.62,9189.52,9356.33,3877.09,4280.04,4356.11
Keerom,12344.45,12409.58,12623.94,5543.79,6619.9,6675.32
Waropen,9406.81,9766.26,9959.53,2168.82,2217.22,2253.41
Supiori,7414.86,7651.11,7847.61,2530.25,2800.48,2883
Mamberamo Raya,6113.73,6371.14,6552.22,3199.19,3543.45,3606.42
Nduga,3173.14,3191.33,3612.04,4149.31,4163.75,4170.53
Lanny Jaya,3781.5,3826.04,3960.88,4715.68,5278.32,5288.5
Mamberamo Tengah,3578.54,3694.36,4045.07,4283.12,4375.05,4384.43
Yalimo,6121.7,6562.29,6774.38,2669.53,4240.15,4250.94
Puncak,5097.26,5146.55,5189.98,4166.23,4206.51,4224.18
Dogiyai,7511.73,7615.41,7892.09,2880.59,3158.89,3230.29
Intan Jaya,6822.71,6869.04,7093.34,2989.49,3061.67,3074.53
Deiyai,5974.01,5993.24,6205.32,2132.12,2347.89,2357.76
Kota Jayapura,16931.92,17011.09,17406.34,13057.1,13345.47,13401.53
PAPUA SELATAN,-,-,-,-,-,-
Merauke,-,-,-,-,-,-
Boven Digoel,-,-,-,-,-,-
Mappi,-,-,-,-,-,-
Asmat,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-
Mimika,-,-,-,-,-,-
Dogiyai,-,-,-,-,-,-
Deiyai,-,-,-,-,-,-
Nabire,-,-,-,-,-,-
Paniai,-,-,-,-,-,-
Intan Jaya,-,-,-,-,-,-
Puncak,-,-,-,-,-,-
Puncak Jaya,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-
Nduga,-,-,-,-,-,-
Jayawijaya,-,-,-,-,-,-
Lanny Jaya,-,-,-,-,-,-
Tolikara,-,-,-,-,-,-
Mamberamo Tengah,-,-,-,-,-,-
Yalimo,-,-,-,-,-,-
Yahukimo,-,-,-,-,-,-
Pegunungan Bintang,-,-,-,-,-,-
INDONESIA,14131.7,14150.08,14163.15,8189.48,8316.46,8464.16